id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4492895627027410,ICYDEtu9k,#交大live# 【TED演讲：如何扩大我们的认知半径？】每当我们深耕于一个领域的时候，很容易被认知偏误、达克效应和认知失调三种因素影响。我们自认为足够客观公正，因为我们只会去找能够支持自己论点的证据，只看那些只看那些支持我们观点的信息，总是高估自己所掌握的知识，那么，我们如何能走出左右我们认知的框框？ TED演讲的微博视频,,"http://f.video.weibocdn.com/004qposqlx07AtewHeJy01041201onj60E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586971554&ssig=AIiBel9e9J&KID=unistore,video",,2020-04-12,公开课 · 视频社区,19,1,9,交大live,
4492868493899783,ICXVTgmvJ,#仙食坊# 你听说过的奇奇怪怪的菜名都有哪些？ ,https://wx2.sinaimg.cn/large/6f0a090dly1gdqvx7najwj20jg0d73zw.jpg,,,2020-04-12,格瓦斯Android,61,33,2,仙食坊,
4492849044800428,ICXqwk8Og,#交大live# 【《哈利·波特》主题曲】用马林巴琴＋钟琴组演奏一首《哈利·波特》主题曲，空灵的琴声下，仿佛置身魔法世界。(YouTube: Maikel van den Boomen))  YouTube精选的微博视频 ,,"http://f.video.weibocdn.com/002rw8hHgx07CqUePyCc01041201wvg70E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1586971553&ssig=gJEyYcWbBV&KID=unistore,video",,2020-04-12,NEX 3 5G,58,3,21,交大live,
4492819051460818,ICWE9681A,#微风梧桐# 若始终保持缄默，它所姑息的恶果，就会如照镜子一样，反映在我们今后的人生中，反映在我们孩子的人生中。/伊藤诗织《黑箱》 ,https://wx4.sinaimg.cn/large/6f0a090dly1gdqq90q7vaj23k02o0npe.jpg,,,2020-04-12,NEX 3 5G,71,2,6,微风梧桐,
4492784964580208,ICVLajdwk,#交大浮光# 挥挥手，和月亮和星辰说晚安，和太阳和所爱之人说一声：“早安(^O^)!” ,https://wx3.sinaimg.cn/large/6f0a090dly1gdqmbm9246j21z41hcu0y.jpg,,,2020-04-12,格瓦斯Android,55,10,0,交大浮光,
4492663832922422,ICSBNcgfQ,#晚安仙交#         前方的路很长，不要着急，一步一步慢慢走，但是也需要偶尔停一停换个方向，不然可能会掉下去。晚安 ,https://wx4.sinaimg.cn/large/6f0a090dly1gdq8bgrumpj21yf172x6p.jpg,,,2020-04-11,迷醉长安的Android,79,9,6,晚安仙交,
4492653137885114,ICSkxx5hg,#交大音夜巴##马思唯#《黑马王子前传》MV教科书一样的flow，马思唯总能给到你想听到的，实话实说，前传不弱于专辑里的任何一首 看音乐我们是认真的的微博视频  ,,"http://f.video.weibocdn.com/nCxl53LWlx07BYKxJtGE01041202U6rk0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1586971553&ssig=euOiKGjO4S&KID=unistore,video",,2020-04-11,阿碧的Android,33,9,3,"交大音夜巴,马思唯",
4492631692710088,ICRLXbn16,#交大新闻# 【西安交大科研成果在《科学》发表】4月10日出版的《科学》杂志刊登西安交通大学第二附属医院小儿外科黄强副研究员与杜克大学、麻省理工学院的合作研究成果。西安交通大学第二附属医院为该论文的第一完成单位和共同通讯作者单位，黄强为论文的第一作者。 ,https://wx4.sinaimg.cn/large/6f0a090dly1gdq4qcuoe5j20jz08eqe3.jpg,,,2020-04-11,阿碧的Android,86,5,2,交大新闻,
4492626755834532,ICRDZotPm,#交大阅读亭# 一个人可以被毁灭，但不能被打败。                   ——海明威图源网络 ,https://wx2.sinaimg.cn/large/6f0a090dly1gdq45is5xij20u010o77z.jpg,,,2020-04-11,iPhone 8（金色）,78,6,7,交大阅读亭,
4492598334945121,ICQU9kKs1,#仙食坊# 来喽！图源@小小宇呀小小宇 ,"https://wx4.sinaimg.cn/large/6f0a090dly1gdq0wimbv3j215o20v4qq.jpg,https://wx2.sinaimg.cn/large/6f0a090dly1gdq0vy9xodj215o20vb2a.jpg,https://wx2.sinaimg.cn/large/6f0a090dly1gdq0wgke55j215o20v1ky.jpg",,,2020-04-11,iPhone 8（金色）,67,25,5,仙食坊,小小宇呀小小宇
4492579292961297,ICQprcqmR,#沙坡村干货# 核心力量的锻炼来咯！在家拿球也能练！via@JrNBA  JrNBA的微博视频 ,,"http://f.video.weibocdn.com/YPAwHLQGlx07CplgaVEQ010412007OHV0E010.mp4?label=mp4_720p&template=640x640.25.0&trans_finger=721584770189073627c6ee9d880087b3&Expires=1586971554&ssig=rJSyBTktgE&KID=unistore,video",,2020-04-11,阿碧的Android,28,2,1,沙坡村干货,JrNBA
4492557864214532,ICPQShGok,#交大沙龙# 你的爱豆是谁呢？ ,https://wx4.sinaimg.cn/large/6f0a090dly1gdpw90gl2sj20u00tsacd.jpg,,,2020-04-11,iPhone 8（金色）,1371,226,2,交大沙龙,
4492538402055907,ICPlu8CPN,#交大live# 【这个周六，我们一起听战“疫”中“爱”的故事】4月11日（周六）下午16：30在B站直播间（直播间ID:22038160）和小团一起聆听战“疫”英雄们如何在逆境中与时竞速，为爱前行，体味医学人的大爱情怀！@西安交大团委 ,"https://wx2.sinaimg.cn/large/6f0a090dly1gdpu012lzkj20p00angqp.jpg,https://wx3.sinaimg.cn/large/6f0a090dly1gdpu02jdtsj20ku1124a5.jpg,https://wx4.sinaimg.cn/large/6f0a090dly1gdpu005mq3j20ku112k3q.jpg,https://wx3.sinaimg.cn/large/6f0a090dly1gdpu03tweij20ku112gwl.jpg",,,2020-04-11,iPhone 8（金色）,38,4,4,交大live,西安交大团委
4492516001251364,ICOLm5fxi,#交大创新港# 最美创新港图源水印 ,"https://wx3.sinaimg.cn/large/6f0a090dly1gdprg1xci5j20u00ke44u.jpg,https://wx1.sinaimg.cn/large/6f0a090dly1gdprfwkot3j20u00k045h.jpg,https://wx1.sinaimg.cn/large/6f0a090dly1gdprg2fuyjj20u00ikafs.jpg",,,2020-04-11,iPhone 8（金色）,91,3,6,交大创新港,
4492511727162854,ICOEsu3nU,#交大live# 【TED演讲：去运动吧，这是你对大脑最好的投资】从一位健康状况不佳、人际关系贫乏的工作狂，转变为健康、自信、幸福的人生赢家，神经科学家Wendy Suzuki亲历运动带来的神奇改变。对情绪和专注力产生积极作用，保护大脑免受如抑郁、老年痴呆、失智症等疾病的侵袭……看完你还会懒得运动吗？生命时报的秒拍视频,,"http://miaopai.video.weibocdn.com/PwmN2Zdhlx07Coi0fkUE01041202wwTA0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586971555&ssig=dnxUlKIOHl&KID=unistore,video",,2020-04-11,阿碧的Android,48,8,33,交大live,
4492496823978441,ICOgqgGYp,#仙食坊# 开饭啦图源@是亚宁呀 ,"https://wx1.sinaimg.cn/large/6f0a090dly1gdpp1fw3zij216o16ongx.jpg,https://wx4.sinaimg.cn/large/6f0a090dly1gdpp1jf878j216o16otnj.jpg,https://wx1.sinaimg.cn/large/6f0a090dly1gdpp1ec5klj216o16o4jh.jpg",,,2020-04-11,iPhone 8（金色）,62,10,1,仙食坊,是亚宁呀
4492493721156353,ICObq4QOR,#交大沙龙# 各位印象最深的童年动画片是哪部呢 小童印象很深的可能就是结局大反转的果宝特攻了 ,https://wx4.sinaimg.cn/large/6f0a090dly1gdpovvh7w3j20k00k0q46.jpg,,,2020-04-11,阿碧的Android,120,48,2,交大沙龙,
4492466583053969,ICNtEcOtz,#微风梧桐# 一个人至少拥有一个梦想，有一个理由去坚强。心若没有栖息的地方，到哪里都是在流浪。 ,https://wx2.sinaimg.cn/large/6f0a090dly1gdpkmbebrzj23402c07wi.jpg,,,2020-04-11,iPhone 8（金色）,74,5,7,微风梧桐,
4492419796149835,ICMgbpNQT,#交大浮光#鸿鹄之志，不在林间！早安！ ,https://wx4.sinaimg.cn/large/6f0a090dly1gdpgebdnohj20rt0rt76h.jpg,,,2020-04-11,阿碧的Android,144,33,4,交大浮光,
4492298149149296,ICJ5YCo9i,#晚安仙交#        此刻并没有太多的话想说，就让这一片花海，伴你安静的入眠吧。晚安图/i拍交大 ,https://wx2.sinaimg.cn/large/6f0a090dly1gdp26ot61hj20m80gomze.jpg,,,2020-04-10,迷醉长安的Android,181,24,6,晚安仙交,
4492274354668872,ICItBjAAo,#交大live# 【TED演讲：去运动吧，这是你对大脑最好的投资】从一位健康状况不佳、人际关系贫乏的工作狂，转变为健康、自信、幸福的人生赢家，神经科学家Wendy Suzuki亲历运动带来的神奇改变。对情绪和专注力产生积极作用，保护大脑免受如抑郁、老年痴呆、失智症等疾病的侵袭…… 生命时报的秒拍视频 ,,"http://miaopai.video.weibocdn.com/PwmN2Zdhlx07Coi0fkUE01041202wwTA0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586971562&ssig=NOQ0Z1eNSJ&KID=unistore,video",,2020-04-10,狐狸のiPhone,47,6,17,交大live,
4492267659781392,ICIiNF2Ao,#西安交大落樱铺满樱花大道# 一起来欣赏樱花雨吧(视频:@西安交通大学网信中心 )#为中国最美校园打call#  西安交通大学的微博视频 ,,"http://f.video.weibocdn.com/003JBxmogx07CorvxhlB010412007UuL0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586971562&ssig=griJ13%2FVqv&KID=unistore,video",,2020-04-10,,319,28,83,"西安交大落樱铺满樱花大道,为中国最美校园打call",西安交通大学网信中心
4492266033313574,ICIgbdU0K,#微风梧桐# #西安交大落樱铺满樱花大道# 粉黛略施谁人画，驻足静观不忍踏。图源/i拍交大 咸阳·西安交通大学 ,https://wx3.sinaimg.cn/large/6f0a090dly1gdoyo34z1pj24xa308u11.jpg,,咸阳·西安交通大学,2020-04-10,狐狸のiPhone,151,9,10,"微风梧桐,西安交大落樱铺满樱花大道",
